"manzanac","ed1","ed2","ed3","ed4","ed5","ed6","ed7","ed8","ed9","ed10","ed11","ed12","ed13","ed14","ed15"
"7600110000000017020125",8,11,14,15,16,12,11,11,14,16,11,16,14,18,19
"7600110000000017360530",1,3,6,3,2,2,2,7,3,4,6,7,3,2,1
"7600110000000002110304",7,4,6,6,5,8,7,1,5,3,8,6,9,6,4
"7600110000000017320112",1,5,2,4,2,2,4,6,2,7,2,0,3,6,2
"7600110000000017350104",4,1,6,4,5,4,3,5,4,4,7,2,6,7,4
"7600110000000017220111",5,2,1,1,4,3,4,1,7,6,3,5,3,2,4
"7600110000000019150102",5,2,5,6,5,3,5,8,9,8,4,16,9,11,20
"7600110000000017360529",8,7,6,4,6,5,3,7,7,2,3,7,4,2,6
"7600110000000017180115",2,1,3,1,1,8,4,3,5,3,2,3,5,6,5
"7600110000000017330139",2,4,8,4,5,3,1,2,6,3,2,0,2,5,3
"7600110000000002110106",3,2,3,4,5,7,2,1,7,2,3,7,8,4,6
"7600110000000017360556",5,6,10,4,6,3,3,5,2,3,0,4,1,2,8
"7600110000000017220114",5,3,3,7,0,3,3,4,3,4,3,3,5,1,3
"7600110000000017310205",2,7,9,3,4,8,8,6,6,1,4,4,5,7,2
"7600110000000017170111",1,2,2,4,2,5,5,4,4,4,3,3,6,1,5
"7600110000000017330157",5,6,2,5,5,3,6,7,6,3,5,8,4,5,2
"7600110000000019290119",10,5,4,6,5,7,5,14,7,6,5,7,4,9,12
"7600110000000017360535",2,1,4,2,6,4,2,4,3,5,4,4,3,1,4
"7600110000000019230108",1,3,3,2,5,2,5,3,2,3,5,2,4,7,3
"7600110000000019150301",0,6,4,3,5,5,1,4,2,6,3,9,9,8,6
"7600110000000017070112",11,12,10,5,10,9,10,8,6,8,7,2,7,7,2
"7600110000000005080206",6,2,5,5,2,5,3,3,7,4,2,7,2,3,5
"7600110000000019300113",4,4,5,4,2,6,3,4,4,2,5,6,8,3,6
"7600110000000017140138",5,9,6,11,8,11,16,16,12,11,11,10,22,18,11
"7600110000000017070110",3,4,3,3,1,2,4,3,4,6,5,5,6,3,8
"7600110000000002200120",5,6,2,5,1,2,5,2,2,0,5,2,1,8,10
"7600110000000019030210",4,4,5,4,11,8,14,9,6,6,10,8,10,10,6
"7600110000000019010131",4,6,3,6,9,1,4,4,2,0,3,5,2,2,6
"7600110000000017360531",6,12,12,6,6,6,8,11,10,8,4,6,9,6,3
"7600110000000002110101",15,8,5,4,4,9,1,5,5,3,6,4,6,3,6
"7600110000000015080237",3,4,7,4,4,8,4,7,2,5,4,4,7,6,5
"7600110000000017360267",8,5,9,9,3,5,8,5,5,0,6,2,4,7,6
"7600110000000019160109",16,18,9,11,13,17,10,19,19,7,19,16,11,11,21
"7600110000000017360521",4,5,2,7,3,11,4,6,3,4,6,5,11,8,4
"7600110000000019010132",6,1,0,4,2,3,2,2,3,1,5,3,6,6,5
"7600110000000005080202",4,8,7,5,10,5,10,4,8,10,9,5,6,8,2
"7600110000000017210315",1,2,3,3,6,4,0,5,1,4,6,3,6,6,2
"7600110000000019030209",0,5,4,3,2,2,4,3,4,4,6,3,1,6,3
"7600110000000017250315",5,3,6,4,6,6,5,3,7,6,7,3,3,11,7
"7600110000000017320105",1,3,5,9,3,7,10,9,3,12,7,12,8,7,9
"7600110000000017200110",5,5,4,2,4,11,6,4,5,6,7,4,10,13,6
"7600110000000017260125",11,16,17,13,13,11,16,12,14,14,14,20,15,14,16
"7600110000000019310204",2,7,9,7,4,6,10,6,7,3,6,2,1,5,6
"7600110000000017340113",4,4,4,5,3,4,9,1,6,5,3,8,3,2,7
"7600110000000017070101",3,6,3,3,6,5,3,4,6,8,4,6,12,7,8
"7600110000000019020115",2,1,4,5,3,3,2,2,5,9,11,4,5,6,3
"7600110000000002220421",10,13,5,8,10,12,10,11,5,16,10,11,7,8,9
"7600110000000017250102",9,6,11,2,1,3,7,2,5,5,2,2,10,6,5
"7600110000000019180115",6,5,12,4,16,10,7,10,15,16,14,9,13,10,20
"7600110000000017360120",2,4,2,4,2,5,3,3,1,5,8,4,2,4,4
"7600110000000019020129",4,5,9,8,5,5,9,3,7,3,11,5,5,9,3
"7600110000000017170126",4,1,6,7,6,10,7,3,6,9,11,9,8,8,5
"7600110000000017050405",5,6,6,8,7,6,2,9,9,5,11,4,5,8,8
"7600110000000019350205",5,3,6,2,6,8,3,3,5,3,5,2,4,6,3
"7600110000000002140132",4,6,4,3,3,1,0,1,2,5,3,4,2,5,6
"7600110000000017360103",4,4,1,2,4,6,5,7,7,11,3,2,7,13,6
"7600110000000005080101",11,9,16,10,12,13,13,19,21,20,28,20,16,20,13
"7600110000000020130219",13,12,12,11,9,8,10,8,5,6,9,4,6,3,6
"7600110000000010030109",5,1,3,2,2,5,6,1,11,3,8,7,4,6,5
"7600110000000019290105",4,6,6,0,4,8,8,8,3,8,8,9,6,7,6
"7600110000000017360512",6,2,3,7,3,1,7,2,9,7,6,9,5,9,8
"7600110000000019150205",2,5,8,1,5,4,7,2,5,5,2,5,8,1,6
"7600110000000017110204",2,7,7,4,1,1,5,2,4,7,7,7,5,11,15
"7600110000000017360423",9,8,12,5,9,3,4,8,4,6,3,7,8,2,2
"7600110000000002190107",7,14,12,10,9,18,13,11,8,10,14,10,4,13,8
"7600110000000017160719",3,7,8,5,5,9,5,6,8,5,4,4,5,6,8
"7600110000000017150101",5,4,5,3,3,2,4,2,3,5,3,3,3,2,5
"7600110000000017360510",7,10,6,8,3,7,10,15,7,9,4,6,8,8,9
"7600110000000002200102",4,5,7,4,9,2,3,2,6,7,2,6,4,5,5
"7600110000000017330154",1,9,9,5,9,3,5,9,4,5,4,2,11,2,7
"7600110000000019080104",3,2,0,0,4,2,7,1,4,2,5,5,8,5,10
"7600110000000017330141",5,4,8,3,12,5,6,8,8,7,7,7,5,7,5
"7600110000000002170120",4,6,2,4,8,3,7,4,2,2,6,7,6,4,6
"7600110000000017160709",2,3,3,2,2,4,5,2,4,2,3,5,1,6,5
"7600110000000019160108",4,8,6,10,10,6,5,7,4,9,7,8,12,9,9
"7600110000000017360514",5,4,1,6,3,4,2,2,7,3,4,3,2,6,3
"7600110000000005080203",2,3,3,5,5,5,2,8,4,4,9,10,8,8,7
"7600110000000017360528",3,3,2,10,2,4,3,4,5,6,3,3,7,5,3
"7600110000000002200110",4,0,7,4,1,1,6,4,3,6,7,2,5,2,3
"7600110000000017300201",10,5,11,12,6,5,11,11,7,9,8,13,7,8,5
"7600110000000017360522",8,6,4,3,2,7,5,2,0,0,6,2,1,3,5
"7600110000000010030211",6,4,6,8,5,6,5,6,9,2,5,9,4,8,3
"7600110000000015080101",4,6,8,7,8,14,10,10,14,10,13,23,17,7,15
"7600110000000017360275",7,9,8,7,7,8,12,5,10,7,7,4,7,9,5
"7600110000000019030102",1,1,5,2,2,3,2,6,2,3,3,3,12,8,4
"7600110000000017160715",12,13,12,12,8,16,14,14,12,11,17,14,13,9,11
"7600110000000020140101",10,11,16,8,15,12,5,7,11,9,9,4,6,9,7
"7600110000000017360242",5,10,12,7,6,10,9,12,9,8,9,7,6,11,6
"7600110000000017360507",8,10,9,7,8,9,9,6,10,14,8,6,8,4,7
"7600110000000017140111",2,3,4,4,7,9,2,3,3,6,2,6,2,10,3
"7600110000000017360540",4,7,8,9,6,7,5,4,5,5,6,9,6,6,8
"7600110000000017360516",4,2,3,4,3,2,1,6,4,5,2,8,3,6,3
"7600110000000005080201",2,3,6,10,6,6,5,3,7,5,4,11,12,10,3
"7600110000000017150102",4,4,2,5,4,4,0,7,4,3,2,3,4,3,3
"7600110000000017360532",4,7,4,5,1,3,3,4,1,2,3,2,4,4,2
"7600110000000017040211",4,3,1,2,5,1,4,8,0,3,7,5,5,2,8
"7600110000000002110108",12,9,8,11,10,5,5,8,12,7,8,3,5,7,6
"7600110000000017360518",2,3,4,2,6,4,4,6,2,5,6,3,4,2,3
"7600110000000017160955",7,4,4,4,8,8,6,4,5,8,5,5,5,0,3
"7600110000000002030148",4,4,1,4,2,2,3,8,3,5,2,4,5,3,1
"7600110000000017360555",6,2,9,6,3,7,4,4,14,8,4,4,3,7,3
"7600110000000017360313",4,4,2,3,4,3,0,5,4,7,7,2,2,3,2
"7600110000000010030126",5,9,2,7,9,11,6,10,9,12,11,14,14,9,15
"7600110000000017040408",2,0,4,3,5,5,5,3,6,8,6,7,9,3,10
"7600110000000002010230",1,4,0,3,7,2,8,3,7,4,3,4,6,5,1
"7600110000000002030150",18,16,9,15,11,7,9,10,7,6,7,6,5,9,8
"7600110000000017130115",1,3,3,1,5,7,7,7,5,10,7,11,8,6,9
"7600110000000002220102",10,10,8,9,6,7,9,7,6,10,9,11,9,8,13
"7600110000000017130132",2,2,0,5,3,4,5,4,4,4,6,5,4,9,5
"7600110000000017090321",3,8,6,8,10,6,4,4,6,3,5,1,5,2,2
"7600110000000017110212",1,3,6,2,7,1,9,1,5,4,4,6,3,1,5
"7600110000000002220420",9,10,11,5,7,6,7,9,3,13,12,11,7,10,10
"7600110000000017090210",17,23,15,15,13,13,15,16,14,14,17,10,11,11,17
"7600110000000017330143",1,6,7,3,2,4,2,5,3,5,5,2,2,5,5
"7600110000000002030144",2,4,5,4,5,1,3,4,4,3,3,3,7,2,6
"7600110000000017360238",4,3,7,4,4,11,8,3,5,13,6,8,11,8,5
"7600110000000002200108",4,1,2,3,4,3,4,5,5,5,6,4,7,4,6
"7600110000000002030124",7,12,6,9,6,2,6,11,4,6,12,5,7,2,8
"7600110000000017130135",1,3,1,8,8,2,7,5,2,6,4,0,5,0,1
"7600110000000019070105",2,3,4,4,3,3,3,3,3,6,0,7,5,4,3
"7600110000000002200109",3,1,3,3,2,3,2,4,3,8,5,3,4,7,2
"7600110000000015080222",6,6,8,4,4,13,5,6,5,4,10,5,8,6,7
"7600110000000017040108",1,4,2,1,4,4,9,10,2,4,8,5,10,15,6
"7600110000000002030139",5,8,5,5,7,8,9,4,6,7,10,14,4,9,7
"7600110000000002190109",3,4,1,5,4,3,2,3,7,7,3,7,4,5,1
"7600110000000017360534",4,7,6,9,9,1,9,4,7,6,4,7,2,3,4
"7600110000000002200104",4,2,0,5,4,2,2,7,3,6,4,9,2,8,3
"7600110000000019010301",4,1,2,3,4,4,6,4,3,6,3,5,8,7,7
"7600110000000017160711",5,12,10,9,10,15,8,10,8,9,18,12,6,12,9
"7600110000000019310210",3,4,4,5,6,5,5,3,1,8,6,3,4,3,6
"7600110000000017330144",0,1,1,1,1,2,3,3,5,7,2,7,6,3,8
"7600110000000017360255",2,5,1,4,5,4,7,3,3,4,2,5,6,6,5
"7600110000000017360558",5,6,7,7,11,9,7,8,8,9,4,6,2,6,8
"7600110000000002220104",5,5,7,8,5,7,3,14,8,6,8,6,3,6,6
"7600110000000002220435",12,13,5,8,10,18,13,9,9,13,15,11,19,12,10
"7600110000000002200103",8,13,14,17,23,20,11,8,18,11,12,24,8,13,12
"7600110000000017360261",4,1,1,5,4,4,6,3,1,2,2,4,7,4,4
"7600110000000002140115",1,3,1,4,4,6,4,1,10,6,5,7,1,6,2
"7600110000000002170220",4,9,11,2,3,4,1,5,2,5,6,3,5,6,4
"7600110000000019090105",5,1,3,4,1,4,4,3,4,6,4,5,2,4,3
"7600110000000017360519",7,3,8,5,3,1,1,2,5,4,2,1,1,1,2
"7600110000000010060102",1,5,5,3,1,2,8,3,3,6,0,1,5,5,4
"7600110000000019390105",5,7,4,7,3,6,7,7,3,7,7,7,9,8,7
"7600110000000019090114",5,5,9,11,11,8,10,7,8,11,8,8,8,10,6
"7600110000000017230105",3,4,5,4,1,1,7,6,3,10,0,1,0,2,5
"7600110000000002040106",2,5,4,2,5,2,4,3,1,6,6,3,5,3,5
"7600110000000017360524",9,9,9,4,6,6,4,4,9,11,7,2,11,6,9
"7600110000000017360525",9,6,5,9,7,5,5,4,2,9,6,9,8,3,8
"7600110000000010030213",5,4,6,3,5,7,8,3,3,7,8,5,4,6,3
"7600110000000017160720",6,5,10,7,7,9,13,6,11,4,4,12,9,11,8
"7600110000000017360523",6,6,6,1,7,4,7,4,5,4,4,0,3,4,8
"7600110000000017330142",7,1,4,2,3,2,8,4,4,7,1,6,4,4,4
"7600110000000002120110",1,3,2,5,4,3,5,3,1,4,8,5,4,2,1
"7600110000000017330130",7,9,9,1,6,6,4,7,2,10,4,7,6,4,5
"7600110000000010030209",2,2,0,4,3,2,3,3,3,2,2,8,5,6,3
"7600110000000019030101",4,6,2,6,3,5,3,7,4,9,4,10,10,4,10
"7600110000000019020108",2,7,5,6,6,3,7,3,8,1,3,4,6,7,3
"7600110000000017360271",5,9,4,4,4,7,2,5,2,4,6,3,0,5,5
"7600110000000017330156",4,2,3,2,7,8,6,7,3,4,3,4,3,5,4
"7600110000000017360557",7,17,14,12,15,8,15,9,14,15,7,4,8,8,10
"7600110000000017080306",1,5,3,4,1,6,9,4,1,5,5,4,4,9,2
"7600110000000002190112",8,10,5,14,4,12,14,6,10,14,8,10,11,7,7
"7600110000000017160716",2,4,2,4,2,3,6,7,6,4,3,4,8,6,7
"7600110000000017300217",10,5,7,11,13,8,11,10,14,5,10,13,10,10,11
"7600110000000017160944",5,5,3,3,7,8,8,10,7,1,3,1,8,7,6
"7600110000000002220101",2,4,6,2,7,6,4,8,7,5,5,6,5,6,6
"7600110000000017160701",4,7,8,11,12,10,7,6,8,6,5,6,8,8,8
"7600110000000017360270",5,5,1,7,3,0,5,5,4,4,2,1,3,3,2
"7600110000000017360533",15,17,15,13,15,18,11,9,6,5,10,14,12,10,15
"7600110000000017160950",6,10,8,8,9,11,9,6,5,10,11,5,4,6,3
"7600110000000017360548",12,11,15,10,11,14,11,13,13,9,10,7,7,12,9
"7600110000000017160943",3,3,4,5,6,8,2,3,2,0,7,2,2,5,3
"7600110000000017360502",0,3,4,4,6,3,4,4,4,7,7,6,4,8,1
"7600110000000017360265",10,8,5,6,5,5,4,7,7,3,6,6,5,5,1
"7600110000000019290120",4,9,10,4,9,5,8,5,1,2,7,5,7,6,10
"7600110000000017160956",10,9,2,5,5,2,4,6,2,0,3,6,3,5,3
"7600110000000002100102",1,2,6,3,4,6,3,5,8,2,6,4,2,5,3
"7600110000000002110107",6,5,11,7,2,8,6,10,5,8,5,8,7,4,4
"7600110000000004210118",11,7,10,3,5,9,9,8,12,13,9,13,15,11,12
"7600110000000002190104",15,17,14,16,11,6,7,13,14,15,13,10,9,10,6
"7600110000000017090229",3,1,6,4,7,1,9,1,11,5,3,4,8,4,6
"7600110000000017360527",3,2,9,1,0,2,0,7,3,3,3,6,3,5,3
"7600110000000017260126",0,2,2,4,2,6,6,3,8,3,5,4,8,1,8
"7600110000000017090325",6,7,3,7,7,7,6,6,5,3,7,5,3,5,7
"7600110000000019310201",12,11,19,11,14,11,12,16,15,6,10,6,7,5,4
"7600110000000017360511",11,6,6,4,10,8,8,5,9,7,10,7,8,10,5
"7600110000000002220111",4,4,4,1,5,6,6,4,7,5,4,4,8,4,1
"7600110000000019010311",4,7,1,3,5,2,2,5,1,8,3,4,5,8,5
"7600110000000002190108",5,5,5,5,7,4,8,7,6,3,8,7,4,2,3
"7600110000000017160734",9,8,0,7,4,5,9,7,5,4,5,5,6,4,7
"7600110000000017340216",2,2,7,5,6,4,7,3,3,8,6,10,8,8,6
"7600110000000002190101",18,18,25,19,20,14,13,12,19,12,10,8,8,15,10
"7600110000000002190111",9,13,13,22,17,19,16,7,17,22,14,26,22,16,16
"7600110000000002200105",6,1,4,5,1,3,2,3,8,5,5,4,4,4,5
"7600110000000017360121",2,3,4,3,0,2,2,6,3,5,6,8,6,5,7
"7600110000000002040209",6,3,7,5,1,10,6,1,6,4,5,5,4,4,6
"7600110000000019030201",1,3,7,8,3,5,8,5,8,3,6,4,12,7,6
"7600110000000002010205",14,12,9,17,7,10,5,10,7,9,7,4,6,7,4
"7600110000000017160964",5,3,3,4,3,4,8,5,3,3,4,2,0,2,1
"7600110000000017070106",5,7,10,4,9,7,6,8,11,8,11,5,7,9,6
"7600110000000017360258",14,19,7,9,6,9,15,9,6,14,7,5,12,3,10
"7600110000000017170129",4,4,3,5,2,3,2,3,7,4,6,3,6,6,2
"7600110000000017300213",2,4,2,4,4,8,7,3,2,5,4,4,4,2,7
"7600110000000017360243",0,9,4,0,4,7,5,7,0,3,3,4,5,3,5
"7600110000000017140118",11,7,6,4,3,7,9,3,8,6,11,1,8,5,5
"7600110000000017350105",5,2,9,4,5,4,3,6,4,7,1,5,3,3,10
"7600110000000017360254",4,4,5,9,3,11,15,18,6,6,12,10,9,12,8
"7600110000000017160941",2,3,3,4,2,10,8,8,6,5,3,5,2,5,5
"7600110000000015080206",4,2,4,5,7,4,4,11,5,7,9,4,5,2,3
"7600110000000017360515",4,7,4,7,3,7,5,6,4,5,4,7,4,4,8
"7600110000000010010118",5,4,1,4,4,3,7,1,2,5,2,6,2,3,6
"7600110000000017360545",10,9,6,6,10,6,5,5,5,3,5,5,2,8,2
"7600110000000017120116",3,0,5,3,7,1,5,3,9,5,3,2,3,2,7
"7600110000000017110104",3,4,8,6,4,4,9,5,5,9,4,6,11,4,6
"7600110000000017330150",5,3,0,3,5,6,9,6,3,5,5,1,3,3,2
"7600110000000017330126",0,6,3,0,3,5,4,3,5,6,3,5,7,3,3
"7600110000000017330135",5,2,4,8,0,3,4,6,4,5,9,6,3,7,2
