"manzanac","ed1","ed2","ed3","ed4","ed5","ed6","ed7","ed8","ed9","ed10","ed11","ed12","ed13","ed14","ed15"
"7600110000000017140101",1,1,0,0,1,2,0,0,0,1,2,2,2,0,2
"7600110000000017330132",0,1,1,2,1,1,1,0,3,3,3,3,1,7,3
"7600110000000017210213",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"7600110000000017320106",4,2,4,4,2,0,3,1,2,3,3,0,0,2,1
"7600110000000017110211",0,1,1,2,3,3,3,1,0,4,0,0,1,1,3
"7600110000000010010110",0,0,0,0,2,0,0,4,1,0,1,1,0,3,4
"7600110000000019010122",3,1,3,0,3,2,2,4,1,1,5,4,1,6,4
"7600110000000017210414",0,0,0,1,1,0,0,0,0,2,1,2,0,2,0
"7600110000000017300210",0,0,1,0,0,0,2,0,1,1,1,0,0,0,0
"7600110000000019290205",1,2,0,0,0,1,0,0,0,0,0,0,1,1,1
"7600110000000015080135",1,1,1,0,0,0,1,1,0,0,2,2,0,1,2
"7600110000000017250306",1,1,0,0,0,0,0,0,0,1,0,0,0,1,2
"7600110000000017090324",2,2,2,1,1,2,2,2,1,2,4,2,9,1,1
"7600110000000017090223",0,1,0,1,1,0,1,1,2,1,2,0,0,2,1
"7600110000000017250211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000015080211",0,2,0,1,2,2,1,3,1,1,0,2,0,1,1
"7600110000000019260104",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7600110000000019370104",0,0,2,0,0,1,0,0,0,1,3,1,0,0,1
"7600110000000017360114",0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
"7600110000000019380112",0,1,0,1,1,0,2,0,0,1,0,0,0,0,0
"7600110000000002090308",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"7600110000000003050112",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"7600110000000017250305",1,0,0,1,1,0,0,0,0,2,0,1,0,0,2
"7600110000000015080137",1,2,2,0,1,2,0,2,1,2,2,0,1,4,2
"7600110000000017150219",0,0,0,0,3,0,1,0,0,0,0,0,0,1,0
"7600110000000017300109",1,1,2,0,1,3,1,3,2,2,1,1,0,2,1
"7600110000000017060107",1,0,2,3,2,3,2,3,1,1,5,2,0,3,7
"7600110000000017160926",4,0,1,0,0,0,0,2,1,0,1,1,2,3,0
"7600110000000002140136",0,3,4,1,4,2,6,2,1,3,2,7,1,2,2
"7600110000000010030102",0,0,0,1,4,3,2,0,1,1,0,1,1,4,1
"7600110000000017160845",0,1,0,0,2,0,0,0,0,0,1,4,0,0,0
"7600110000000019010140",0,0,1,0,0,1,1,2,2,0,0,2,0,1,0
"7600110000000019200105",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7600110000000019420119",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"7600110000000002080423",1,0,0,0,1,1,0,0,1,0,2,2,1,2,1
"7600110000000017130136",0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
"7600110000000017330148",5,5,4,4,3,1,1,1,2,3,5,2,1,1,3
"7600110000000003050117",1,2,0,1,0,0,0,2,0,2,0,0,0,0,1
"7600110000000017150109",2,1,2,1,0,1,1,1,0,2,4,3,0,1,2
"7600110000000003050101",3,2,0,0,0,3,1,0,1,2,0,0,0,0,0
"7600110000000019420122",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"7600110000000017150302",2,1,4,1,1,1,2,1,0,0,3,0,0,1,0
"7600110000000017210403",0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
"7600110000000002110203",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"7600110000000017160923",2,3,1,1,2,0,1,0,0,0,1,1,1,1,0
"7600110000000017160933",0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
"7600110000000017150319",1,0,0,0,0,1,0,2,0,1,1,1,1,0,1
"7600110000000019050119",0,0,0,0,0,0,0,1,0,0,0,1,2,2,1
"7600110000000019050105",1,1,0,2,1,0,1,0,1,1,1,1,0,1,0
"7600110000000019050104",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"7600110000000002090114",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"7600110000000019040110",4,1,1,1,0,2,1,1,2,0,0,0,0,0,1
"7600110000000017250312",0,0,2,1,1,1,1,0,0,0,0,1,0,0,1
"7600110000000002130306",0,0,0,1,0,0,1,0,0,0,0,1,1,0,2
"7600110000000019040101",0,0,1,2,0,1,0,0,1,1,0,0,0,2,2
"7600110000000002010314",1,0,0,0,1,0,0,0,0,2,3,1,0,3,0
"7600110000000017090231",0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"7600110000000017090230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000017300103",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"7600110000000002130312",0,1,0,0,0,1,1,0,1,0,2,1,1,0,0
"7600110000000019400209",1,2,2,0,0,1,0,1,0,0,0,1,0,3,0
"7600110000000019230204",0,1,0,0,0,0,2,0,0,0,0,3,0,0,1
"7600110000000019400115",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"7600110000000010010219",2,1,0,0,1,2,0,2,2,1,2,1,1,4,0
"7600110000000010010117",2,1,0,4,0,2,1,5,1,1,0,1,3,2,4
"7600110000000017210211",0,1,1,1,0,0,0,0,0,1,1,0,1,0,1
"7600110000000002060310",0,0,2,1,0,0,0,0,0,1,0,0,0,0,2
"7600110000000010010105",1,2,0,2,2,2,4,1,0,1,1,2,1,2,0
"7600110000000017360269",2,4,1,2,4,3,4,2,1,0,2,4,0,0,2
"7600110000000017150523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002080103",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7600110000000017210132",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
"7600110000000002130202",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7600110000000015080210",1,0,0,1,1,0,2,0,0,1,1,1,1,0,1
"7600110000000002040142",2,0,1,1,0,1,2,1,1,1,4,1,3,1,1
"7600110000000017300214",0,0,0,1,0,1,1,3,0,0,1,0,2,1,0
"7600110000000002050102",2,2,0,0,1,0,0,1,2,1,3,1,1,1,1
"7600110000000017210207",0,1,0,2,0,2,0,0,1,0,1,0,0,0,1
"7600110000000002220309",1,1,2,2,0,0,1,4,0,4,1,1,0,2,2
"7600110000000002120501",2,3,0,1,0,2,0,0,0,0,1,0,0,0,1
"7600110000000002120526",0,0,1,0,0,0,2,0,0,1,1,0,0,0,0
"7600110000000010010112",1,0,1,0,3,0,1,0,2,1,0,0,1,1,2
"7600110000000002130214",0,0,0,0,1,0,2,0,1,1,2,1,0,1,0
"7600110000000019250115",0,1,3,1,0,0,1,3,1,2,1,1,2,1,1
"7600110000000019230211",0,0,3,0,0,0,0,0,2,1,0,1,1,0,1
"7600110000000019350213",0,0,0,1,1,0,0,0,1,2,0,1,3,0,1
"7600110000000017210209",2,0,1,1,0,1,0,2,1,0,0,0,0,0,0
"7600110000000019010208",0,0,1,0,0,0,1,0,0,2,0,1,0,1,0
"7600110000000019420103",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7600110000000017140202",1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"7600110000000019260207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000017090318",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"7600110000000019260112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000010060114",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000017030153",2,0,0,0,1,0,2,0,2,1,0,0,0,0,0
"7600110000000002210224",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"7600110000000002070105",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7600110000000017250202",0,1,0,0,1,0,2,1,3,0,0,0,3,1,1
"7600110000000002130411",1,1,4,0,2,5,1,2,0,0,1,1,1,1,2
"7600110000000002060118",0,0,0,0,0,0,0,1,1,1,1,2,1,0,0
"7600110000000017360250",0,1,0,0,0,2,0,0,0,1,1,1,0,0,0
"7600110000000017210118",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"7600110000000019250211",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"7600110000000019250108",0,2,0,0,4,0,1,0,1,1,3,1,2,0,3
"7600110000000017180108",0,1,0,0,1,2,0,0,1,0,1,1,0,1,2
"7600110000000017210307",0,0,0,0,2,0,0,1,0,0,0,0,2,0,0
"7600110000000019230102",0,0,0,0,0,0,1,2,1,0,0,1,0,0,0
"7600110000000019010221",2,0,1,0,2,1,2,1,1,1,0,2,0,2,0
"7600110000000017360536",1,1,1,2,0,1,1,2,2,1,2,0,1,1,2
"7600110000000010010216",0,0,2,1,0,2,0,2,0,1,1,0,0,2,1
"7600110000000019070103",2,2,3,2,3,3,2,1,3,0,6,3,1,3,4
"7600110000000017210313",2,0,2,0,3,2,2,1,1,2,2,1,3,3,0
"7600110000000002120206",1,2,0,0,2,0,1,0,1,0,2,1,2,1,4
"7600110000000017360503",1,1,1,1,2,0,2,1,2,3,4,2,1,3,2
"7600110000000017150206",0,0,2,2,2,0,0,2,1,2,1,2,0,1,1
"7600110000000017160848",0,0,0,0,1,0,1,2,0,1,2,0,0,0,0
"7600110000000017360419",1,2,0,1,1,0,1,0,4,1,0,0,3,2,1
"7600110000000002120208",0,0,0,3,1,1,0,2,0,0,1,0,0,0,2
"7600110000000002120513",0,3,0,4,0,3,0,1,1,2,0,1,0,1,0
"7600110000000019300105",1,1,0,1,2,0,0,1,0,0,0,1,0,0,0
"7600110000000019180117",1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"7600110000000017330134",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"7600110000000017160706",0,0,0,0,0,0,1,0,0,2,1,3,1,0,2
"7600110000000019030111",1,1,0,1,0,1,1,1,0,2,1,0,3,1,0
"7600110000000017070103",2,1,1,3,0,1,2,2,1,1,1,0,0,0,2
"7600110000000015080113",0,1,0,3,0,2,2,2,1,1,1,0,2,1,1
