manzanac,ed0,ed1,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30,ed1,pred_dec,pred,dif
7.60E+21,2,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2,2,2,4,0,3,0,1,0,1,3,1,3,1,1.105714286,1,0
7.60E+21,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5,5,3,1,4,3,2,5,0,2,6,6,4,4,3.431428571,3,1
7.60E+21,1,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2,3,0,5,1,1,5,0,1,4,1,1,3,3,2.065714286,2,1
7.60E+21,11,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10,11,12,10,10,5,13,15,14,8,14,10,7,7,7.472857143,7,0
7.60E+21,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0.750019922,1,0
7.60E+21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0.107429805,0,0
7.60E+21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.021727474,0,0
7.60E+21,1,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4,6,5,11,5,5,3,5,4,3,5,2,1,6,2.742857143,3,3
7.60E+21,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0,2,1,1,0,2,1,0,1,1,0,1,1,0.778536973,1,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137728,0,0
7.60E+21,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,2,0,0,0,0.198050889,0,0
7.60E+21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.110389241,0,0
7.60E+21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,2,1,0,3,0,0,0.369394979,0,0
7.60E+21,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1,2,0,1,0,1,3,0,2,1,1,0,1,0,0.255174511,0,0
7.60E+21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,3,2,2,1,1,1,1,0,1,1,0.793952187,1,0
7.60E+21,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0.101389791,0,0
7.60E+21,2,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2,2,2,1,1,0,0,3,1,0,0,0,1,0,0.132587317,0,0
7.60E+21,0,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1,0,0,1,2,1,0,2,1,0,2,1,1,1,0.838746263,1,0
7.60E+21,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3,2,1,2,1,4,1,1,1,0,2,1,0,0,0.182481027,0,0
7.60E+21,0,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1,2,1,2,2,3,3,1,0,3,0,2,1,0,0,0.235766192,0,0
7.60E+21,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,0,1,1,1,3,1,1,1,2,1.26238029,1,1
7.60E+21,1,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1,6,7,2,1,0,6,6,7,4,4,8,6,5,1,1.38047619,1,0
7.60E+21,1,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2,3,1,2,1,1,0,0,1,1,0,0,1,0,0,0.126183062,0,0
7.60E+21,0,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1,1,0,1,1,4,0,1,1,1,1,3,1,1,1,0.886231496,1,0
7.60E+21,0,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2,3,2,1,2,1,1,0,3,1,0,1,1,0,0,0.172102436,0,0
7.60E+21,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0.098175693,0,0
7.60E+21,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0.076197591,0,0
7.60E+21,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,1,2,2,1,4,3,3,0,3,4,1,0,0.408214286,0,0
7.60E+21,2,2,2,1,0,4,1,2,2,0,1,0,0,0,1,0,1,0,0,2,0,1,1,2,2,1,1,2,4,2,2,2,1.591666667,2,0
7.60E+21,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,1,0,1,0,2,3,1,2,1,2,2,1,1,1,0,0.540675532,1,-1
7.60E+21,0,1,0,0,1,0,0,1,3,2,0,1,1,0,0,1,1,0,2,2,0,2,0,1,0,5,1,1,0,2,0,1,0.945404348,1,0
7.60E+21,2,4,1,2,2,1,2,2,1,3,2,2,2,1,4,1,2,9,2,4,1,3,4,1,4,2,3,2,6,3,1,4,1.306473676,1,3
7.60E+21,2,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,2,1,0,0,0,3,1,0,0,3,0,0,0,1,2,1,0.749588358,1,0
7.60E+21,0,1,3,2,5,4,3,5,3,1,4,8,5,4,2,1,6,2,2,5,2,4,1,5,3,1,2,0,1,0,2,1,2.242857143,2,-1
7.60E+21,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0.655648195,1,0
7.60E+21,3,3,2,5,2,4,2,3,5,3,4,3,1,2,1,4,5,1,0,0,1,3,1,1,1,3,0,3,1,1,3,3,2.662857143,3,0
7.60E+21,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,2,1,0,2,3,2,0,1,0,2,2,0,0.378715844,0,0
7.60E+21,0,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,5,0,2,1,0,4,1,3,1,0.521959723,1,0
7.60E+21,4,1,3,6,3,2,2,2,7,3,4,6,7,3,2,1,4,5,9,3,3,5,3,6,4,3,3,1,3,1,2,1,1.544285714,2,-1
7.60E+21,0,1,0,0,1,1,0,2,0,2,1,0,0,1,1,1,0,2,1,2,2,0,4,1,5,0,1,1,1,1,0,1,0.915367008,1,0
7.60E+21,1,0,1,0,1,0,1,0,3,3,0,0,0,1,1,1,0,2,2,2,3,2,4,1,5,1,1,2,0,1,1,0,0.268739036,0,0
7.60E+21,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,0,1,2,1,3,3,3,1,1,1,2,1,0,0.151134754,0,0
7.60E+21,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0,2,3,3,3,5,4,2,2,6,3,0,1,1,0.972975755,1,0
7.60E+21,4,2,4,8,4,5,3,1,2,6,3,2,0,2,5,3,3,3,3,3,1,3,5,2,4,7,6,5,3,8,5,2,2.405776398,2,0
7.60E+21,2,4,1,2,3,4,3,4,5,5,5,6,4,7,4,6,4,1,6,2,4,4,4,6,4,6,2,10,2,3,2,4,3.38,3,1
7.60E+21,1,0,2,0,0,4,0,1,0,1,1,3,1,2,0,3,2,1,0,3,3,1,2,2,4,2,1,2,2,4,1,0,0.443008271,0,0
7.60E+21,2,0,2,1,0,2,0,1,0,0,1,0,1,1,0,1,1,1,2,1,1,3,0,0,1,0,0,1,0,2,2,0,0.203235545,0,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.025136377,0,0
7.60E+21,1,4,0,0,1,1,2,1,1,1,3,3,4,2,2,2,2,3,0,3,1,4,4,4,6,2,1,5,2,1,2,4,2.956714286,3,1
7.60E+21,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,2,1,0,1,1,2,0.496866962,0,2
7.60E+21,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,0.127332599,0,0
7.60E+21,5,2,4,6,2,7,6,4,8,7,5,5,6,5,6,6,5,9,5,5,6,7,5,7,6,7,6,2,4,6,2,2,4.102857143,4,-2
7.60E+21,0,0,1,0,3,0,2,2,2,1,1,1,0,2,1,1,2,1,2,1,3,1,4,2,2,2,0,2,0,1,1,0,0.85613497,1,-1
7.60E+21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,0,0.263808598,0,0
7.60E+21,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.044833642,0,0
7.60E+21,1,4,4,4,1,5,6,6,4,7,5,4,4,8,4,1,3,5,4,6,4,5,7,7,3,4,5,8,11,1,2,4,3.594285714,4,0
7.60E+21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0.282685958,0,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137728,0,0
7.60E+21,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0.093501915,0,0
7.60E+21,4,0,1,3,3,1,1,2,1,0,1,1,2,2,1,2,4,0,2,2,2,1,3,3,4,3,5,2,2,2,2,0,0.519367299,1,-1
7.60E+21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,2,2,0,0,0,0,0.282188663,0,0
7.60E+21,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0.121515182,0,0
7.60E+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0.095276517,0,0
7.60E+21,1,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,1,1,1,1,1,0,1,1,2,3,1,2,3,0,1,0,0.6559945,1,-1
7.60E+21,1,1,1,1,0,3,0,1,1,0,2,0,1,2,1,1,1,2,0,1,0,0,2,3,2,3,5,2,5,3,4,1,1.005404762,1,0
7.60E+21,3,4,1,2,1,2,2,1,2,0,1,0,2,2,0,3,0,1,1,2,4,1,2,2,2,4,4,0,0,1,1,4,2.827142857,3,1
