manzanac,rte,pred2019,pred2019_dec,pred2018,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.892808012,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2,2,2,4,0,3,0,1,0,1,3
7.60E+21,,2,2.178571429,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5,5,3,1,4,3,2,5,0,2,6
7.60E+21,,2,1.528571429,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2,3,0,5,1,1,5,0,1,4,1
7.60E+21,,8,7.748571429,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10,11,12,10,10,5,13,15,14,8,14
7.60E+21,,0,0.304820088,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
7.60E+21,,0,0.091565043,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1
7.60E+21,,0,0.080465399,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
7.60E+21,,3,2.764285714,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4,6,5,11,5,5,3,5,4,3,5
7.60E+21,,0,0.420725542,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0,2,1,1,0,2,1,0,1,1
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.258075585,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,2
7.60E+21,,0,0.12301919,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0
7.60E+21,,0,0.280871115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,2,1,0
7.60E+21,,1,0.521613774,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1,2,0,1,0,1,3,0,2,1,1
7.60E+21,,0,0.2263683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,3,2,2,1,1,1,1
7.60E+21,,0,0.168818844,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,0,0,0,1,1,1,0
7.60E+21,,0,0.326025609,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2,2,2,1,1,0,0,3,1,0,0
7.60E+21,,1,0.630401321,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1,0,0,1,2,1,0,2,1,0,2
7.60E+21,,1,0.533715002,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3,2,1,2,1,4,1,1,1,0,2
7.60E+21,,1,0.622313695,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1,2,1,2,2,3,3,1,0,3,0,2
7.60E+21,,0,0.337916919,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,0,1,1,1,3,1
7.60E+21,,2,2.327142857,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1,6,7,2,1,0,6,6,7,4,4,8
7.60E+21,,1,0.542906431,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2,3,1,2,1,1,0,0,1,1,0,0
7.60E+21,,1,0.638745832,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1,1,0,1,1,4,0,1,1,1,1,3
7.60E+21,,0,0.495393685,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2,3,2,1,2,1,1,0,3,1,0,1
7.60E+21,,0,0.199413843,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0
7.60E+21,,0,0.204442782,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0
7.60E+21,,1,0.654511905,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,1,2,2,1,4,3,3,0,3
7.60E+21,,1,0.904914286,1,2,2,1,0,4,1,2,2,0,1,0,0,0,1,0,1,0,0,2,0,1,1,2,2,1,1,2,4
7.60E+21,,0,0.359528681,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,1,0,1,0,2,3,1,2,1,2,2,1
7.60E+21,,1,0.679441959,1,1,0,0,1,0,0,1,3,2,0,1,1,0,0,1,1,0,2,2,0,2,0,1,0,5,1,1,0
7.60E+21,,1,1.49122449,1,4,1,2,2,1,2,2,1,3,2,2,2,1,4,1,2,9,2,4,1,3,4,1,4,2,3,2,6
7.60E+21,,0,0.444623405,1,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,2,1,0,0,0,3,1,0,0,3,0,0,0
7.60E+21,,2,1.937142857,2,1,3,2,5,4,3,5,3,1,4,8,5,4,2,1,6,2,2,5,2,4,1,5,3,1,2,0,1
7.60E+21,,0,0.154854865,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0
7.60E+21,,2,1.554285714,2,3,2,5,2,4,2,3,5,3,4,3,1,2,1,4,5,1,0,0,1,3,1,1,1,3,0,3,1
7.60E+21,,0,0.375979398,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,2,1,0,2,3,2,0,1,0
7.60E+21,,1,0.668021214,1,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,5,0,2,1,0,4
7.60E+21,,2,1.995714286,3,1,3,6,3,2,2,2,7,3,4,6,7,3,2,1,4,5,9,3,3,5,3,6,4,3,3,1,3
7.60E+21,,1,0.752116082,1,1,0,0,1,1,0,2,0,2,1,0,0,1,1,1,0,2,1,2,2,0,4,1,5,0,1,1,1
7.60E+21,,1,1.03929932,1,0,1,0,1,0,1,0,3,3,0,0,0,1,1,1,0,2,2,2,3,2,4,1,5,1,1,2,0
7.60E+21,,0,0.289509209,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,0,1,2,1,3,3,3,1,1,1
7.60E+21,,1,0.876394558,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0,2,3,3,3,5,4,2,2,6,3
7.60E+21,,2,2.215714286,3,2,4,8,4,5,3,1,2,6,3,2,0,2,5,3,3,3,3,3,1,3,5,2,4,7,6,5,3
7.60E+21,,2,2.285714286,3,4,1,2,3,4,3,4,5,5,5,6,4,7,4,6,4,1,6,2,4,4,4,6,4,6,2,10,2
7.60E+21,,1,1.172753863,1,0,2,0,0,4,0,1,0,1,1,3,1,2,0,3,2,1,0,3,3,1,2,2,4,2,1,2,2
7.60E+21,,0,0.402570971,1,0,2,1,0,2,0,1,0,0,1,0,1,1,0,1,1,1,2,1,1,3,0,0,1,0,0,1,0
7.60E+21,,0,0.044624419,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0
7.60E+21,,1,1.432857143,1,4,0,0,1,1,2,1,1,1,3,3,4,2,2,2,2,3,0,3,1,4,4,4,6,2,1,5,2
7.60E+21,,0,0.440927237,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,2,1,0
7.60E+21,,0,0.44072137,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0
7.60E+21,,3,3.382857143,4,2,4,6,2,7,6,4,8,7,5,5,6,5,6,6,5,9,5,5,6,7,5,7,6,7,6,2,4
7.60E+21,,1,0.819097622,1,0,1,0,3,0,2,2,2,1,1,1,0,2,1,1,2,1,2,1,3,1,4,2,2,2,0,2,0
