manzanac,ret,pred2020,pred2020_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.768020881,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2,2,2,4,0,3,0,1,0,1
7.60E+21,,2,2.205714286,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5,5,3,1,4,3,2,5,0,2
7.60E+21,,2,1.568571429,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2,3,0,5,1,1,5,0,1,4
7.60E+21,,6,6.312857143,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10,11,12,10,10,5,13,15,14,8
7.60E+21,,0,0.496619335,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
7.60E+21,,0,0.115764846,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
7.60E+21,,0,0.142231764,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
7.60E+21,,3,3.211428571,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4,6,5,11,5,5,3,5,4,3
7.60E+21,,0,0.433046666,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0,2,1,1,0,2,1,0,1
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.180068097,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0
7.60E+21,,0,0.113062526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1
7.60E+21,,0,0.120274767,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,2,1
7.60E+21,,1,0.613129988,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1,2,0,1,0,1,3,0,2,1
7.60E+21,,0,0.388395925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,3,2,2,1,1,1
7.60E+21,,0,0.229780737,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,0,0,0,1,1,1
7.60E+21,,1,0.660161226,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2,2,2,1,1,0,0,3,1,0
7.60E+21,,0,0.472241338,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1,0,0,1,2,1,0,2,1,0
7.60E+21,,1,0.821663249,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3,2,1,2,1,4,1,1,1,0
7.60E+21,,1,0.508370361,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1,2,1,2,2,3,3,1,0,3,0
7.60E+21,,1,0.501489515,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,0,1,1,1,3
7.60E+21,,2,2.228571429,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1,6,7,2,1,0,6,6,7,4,4
7.60E+21,,0,0.340882455,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2,3,1,2,1,1,0,0,1,1,0
7.60E+21,,1,0.518290496,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1,1,0,1,1,4,0,1,1,1,1
7.60E+21,,1,0.623163745,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2,3,2,1,2,1,1,0,3,1,0
7.60E+21,,0,0.242853677,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,0,0
7.60E+21,,0,0.329013268,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0
7.60E+21,,1,0.58066021,1,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,1,2,2,1,4,3,3,0
7.60E+21,,1,0.749409965,1,1,2,2,1,0,4,1,2,2,0,1,0,0,0,1,0,1,0,0,2,0,1,1,2,2,1,1,2
