manzanac,gbh,pred2022,pred2022_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.85764413,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2,2,2,4,0,3,0,1
7.60E+21,,2,1.802857143,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5,5,3,1,4,3,2,5
7.60E+21,,2,1.658571429,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2,3,0,5,1,1,5,0
7.60E+21,,6,6.38,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10,11,12,10,10,5,13,15
7.60E+21,,1,0.616496728,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
7.60E+21,,0,0.147915211,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1
7.60E+21,,0,0.050499915,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
7.60E+21,,2,2.397142857,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4,6,5,11,5,5,3,5
7.60E+21,,0,0.425563116,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0,2,1,1,0,2,1
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,1,0.566037963,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
7.60E+21,,0,0.077923619,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0
7.60E+21,,0,0.136097472,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1
7.60E+21,,1,0.613950485,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1,2,0,1,0,1,3,0
7.60E+21,,0,0.249030357,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,3,2,2,1
7.60E+21,,0,0.288769772,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,0,0,0,1
7.60E+21,,0,0.456842069,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2,2,2,1,1,0,0,3
7.60E+21,,1,0.573069426,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1,0,0,1,2,1,0,2
7.60E+21,,0,0.368890251,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3,2,1,2,1,4,1,1
7.60E+21,,0,0.47142864,1,1,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1,2,1,2,2,3,3,1,0
7.60E+21,,0,0.15992784,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,0,1,1
7.60E+21,,2,2.027142857,2,2,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1,6,7,2,1,0,6,6,7
7.60E+21,,0,0.36541429,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2,3,1,2,1,1,0,0,1
7.60E+21,,1,0.624587465,1,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1,1,0,1,1,4,0,1,1
7.60E+21,,0,0.492238335,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2,3,2,1,2,1,1,0,3
7.60E+21,,0,0.211491769,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1
7.60E+21,,0,0.255826813,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1
7.60E+21,,1,0.755369898,1,1,1,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,1,2,2,1,4,3
7.60E+21,,1,0.773517638,1,1,1,1,2,2,1,0,4,1,2,2,0,1,0,0,0,1,0,1,0,0,2,0,1,1,2,2,1
7.60E+21,,0,0.350560829,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,1,0,1,0,2,3,1,2,1
7.60E+21,,0,0.480023583,1,1,1,1,1,0,0,1,0,0,1,3,2,0,1,1,0,0,1,1,0,2,2,0,2,0,1,0,5
7.60E+21,,1,1.261309524,1,1,1,1,4,1,2,2,1,2,2,1,3,2,2,2,1,4,1,2,9,2,4,1,3,4,1,4,2
7.60E+21,,0,0.354674003,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,2,1,0,0,0,3,1,0,0,3
7.60E+21,,2,1.874347826,2,2,2,2,1,3,2,5,4,3,5,3,1,4,8,5,4,2,1,6,2,2,5,2,4,1,5,3,1
7.60E+21,,0,0.168443054,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
7.60E+21,,2,1.528888889,1,1,2,2,3,2,5,2,4,2,3,5,3,4,3,1,2,1,4,5,1,0,0,1,3,1,1,1,3
7.60E+21,,0,0.495437945,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,2,1,0,2,3,2
7.60E+21,,0,0.477816176,1,1,1,1,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,5,0,2
7.60E+21,,2,2.477142857,2,2,2,3,1,3,6,3,2,2,2,7,3,4,6,7,3,2,1,4,5,9,3,3,5,3,6,4,3
7.60E+21,,1,0.783399519,1,1,1,1,1,0,0,1,1,0,2,0,2,1,0,0,1,1,1,0,2,1,2,2,0,4,1,5,0
7.60E+21,,1,0.670186279,1,1,1,1,0,1,0,1,0,1,0,3,3,0,0,0,1,1,1,0,2,2,2,3,2,4,1,5,1
7.60E+21,,0,0.429910359,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,0,1,2,1,3,3,3
7.60E+21,,1,0.783857143,1,1,1,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0,2,3,3,3,5,4,2
7.60E+21,,2,2.044285714,2,2,2,3,2,4,8,4,5,3,1,2,6,3,2,0,2,5,3,3,3,3,3,1,3,5,2,4,7
7.60E+21,,2,2.155714286,2,3,2,3,4,1,2,3,4,3,4,5,5,5,6,4,7,4,6,4,1,6,2,4,4,4,6,4,6
7.60E+21,,1,0.781050093,1,1,1,1,0,2,0,0,4,0,1,0,1,1,3,1,2,0,3,2,1,0,3,3,1,2,2,4,2
7.60E+21,,0,0.459152455,0,0,0,1,0,2,1,0,2,0,1,0,0,1,0,1,1,0,1,1,1,2,1,1,3,0,0,1,0
7.60E+21,,0,0.209799893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0
7.60E+21,,1,1.332808303,1,1,1,1,4,0,0,1,1,2,1,1,1,3,3,4,2,2,2,2,3,0,3,1,4,4,4,6,2
7.60E+21,,0,0.400338388,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3
7.60E+21,,0,0.308939202,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
7.60E+21,,3,2.905714286,3,3,3,4,2,4,6,2,7,6,4,8,7,5,5,6,5,6,6,5,9,5,5,6,7,5,7,6,7
7.60E+21,,1,0.645594716,1,1,1,1,0,1,0,3,0,2,2,2,1,1,1,0,2,1,1,2,1,2,1,3,1,4,2,2,2
7.60E+21,,0,0.144691587,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
7.60E+21,,0,0.238915174,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1
7.60E+21,,2,2.2,3,3,3,3,4,4,4,1,5,6,6,4,7,5,4,4,8,4,1,3,5,4,6,4,5,7,7,3,4
7.60E+21,,0,0.167905582,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,2
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.120794822,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,0,0
7.60E+21,,1,1.1420681,1,1,1,1,0,1,3,3,1,1,2,1,0,1,1,2,2,1,2,4,0,2,2,2,1,3,3,4,3
7.60E+21,,0,0.081495708,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0
7.60E+21,,0,0.073271248,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,2,1,0,0,0,0,2,0
7.60E+21,,0,0.020307471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
7.60E+21,,1,0.572234777,1,1,1,0,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,1,1,1,1,1,0,1,1,2,3
7.60E+21,,1,1.025125301,1,1,1,1,1,1,1,0,3,0,1,1,0,2,0,1,2,1,1,1,2,0,1,0,0,2,3,2,3
7.60E+21,,1,1.112883656,1,1,1,1,4,1,2,1,2,2,1,2,0,1,0,2,2,0,3,0,1,1,2,4,1,2,2,2,4
7.60E+21,,6,5.85,7,8,10,11,15,17,14,16,11,6,7,13,14,15,13,10,9,10,6,12,11,8,3,11,4,8,4,10,10
