manzanac,,pred2029,pred2029_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.956019908,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2
7.60E+21,,2,1.75952381,2,2,1,2,2,2,2,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5
7.60E+21,,2,1.622443064,2,2,2,1,1,1,2,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2
7.60E+21,,6,6.26,5,6,5,6,6,6,6,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10
7.60E+21,,0,0.189096976,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0
7.60E+21,,0,0.178395724,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.60E+21,,0,0.00931406,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7.60E+21,,2,2.237142857,2,2,3,3,2,3,2,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4
7.60E+21,,0,0.135537785,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.034652203,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.079974713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0
7.60E+21,,0,0.097418412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7.60E+21,,0,0.385035878,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1
7.60E+21,,0,0.102365241,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
7.60E+21,,0,0.287182068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1
7.60E+21,,0,0.279780229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2
7.60E+21,,1,0.549715523,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1
7.60E+21,,0,0.448109314,1,1,1,0,1,1,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3
7.60E+21,,1,0.51365927,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1,2
7.60E+21,,0,0.149905472,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
7.60E+21,,1,1.344285714,2,2,1,2,2,2,2,2,2,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1,6
7.60E+21,,0,0.206913963,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2,3
7.60E+21,,1,0.578049385,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1,1
7.60E+21,,0,0.369478098,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2,3
7.60E+21,,0,0.059829468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1
7.60E+21,,0,0.182244682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
7.60E+21,,1,0.54361182,0,0,1,1,1,1,1,1,1,1,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1
7.60E+21,,1,0.650204395,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,4,1,2,2,0,1,0,0,0,1,0,1,0,0
7.60E+21,,0,0.121639658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,1,0
7.60E+21,,0,0.460572793,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,3,2,0,1,1,0,0,1,1,0,2
7.60E+21,,1,1.060927293,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,2,2,1,3,2,2,2,1,4,1,2,9,2
7.60E+21,,0,0.386292012,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,2,1,0
7.60E+21,,1,1.228276398,2,2,1,1,1,2,2,2,2,2,2,1,3,2,5,4,3,5,3,1,4,8,5,4,2,1,6,2,2
7.60E+21,,0,0.099725825,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
7.60E+21,,1,1.137329193,1,1,1,1,1,2,2,1,1,2,2,3,2,5,2,4,2,3,5,3,4,3,1,2,1,4,5,1,0
7.60E+21,,0,0.059034861,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0
7.60E+21,,0,0.274060789,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0
7.60E+21,,2,1.765238095,2,2,2,2,2,2,2,2,2,2,3,1,3,6,3,2,2,2,7,3,4,6,7,3,2,1,4,5,9
7.60E+21,,1,0.557405205,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,0,2,1,0,0,1,1,1,0,2,1
7.60E+21,,1,0.667200485,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,3,3,0,0,0,1,1,1,0,2,2
7.60E+21,,0,0.183526192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1
7.60E+21,,0,0.449239978,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0
7.60E+21,,2,1.637142857,1,1,1,2,2,2,2,2,2,2,3,2,4,8,4,5,3,1,2,6,3,2,0,2,5,3,3,3,3
