manzanac,,,pred2031,pred2031_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,,1,0.897032475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1
7.60E+21,,,2,2.01,2,2,2,2,1,2,2,2,2,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3
7.60E+21,,,1,1.471428571,2,2,2,2,2,1,1,1,2,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4
7.60E+21,,,6,5.585714286,5,6,5,6,5,6,6,6,6,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7
7.60E+21,,,0,0.126796023,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0
7.60E+21,,,0,0.032921582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
7.60E+21,,,0,0.001408421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7.60E+21,,,2,1.890952381,2,2,2,2,3,3,2,3,2,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6
7.60E+21,,,0,0.222164863,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1
7.60E+21,,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.053245243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.098102624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0
7.60E+21,,,0,0.001124683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.167993877,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2
7.60E+21,,,0,0.069960005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7.60E+21,,,0,0.11560672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1
7.60E+21,,,0,0.223414996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0
7.60E+21,,,0,0.457686618,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1
7.60E+21,,,0,0.405872801,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0
7.60E+21,,,1,0.577261235,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1
7.60E+21,,,0,0.115965746,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7.60E+21,,,1,1.434285714,1,1,2,2,1,2,2,2,2,2,2,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8
7.60E+21,,,0,0.134612616,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0
7.60E+21,,,1,0.590026746,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0
7.60E+21,,,0,0.372341708,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0
