manzana_censal,pred2032,pred2031,pred2030,pred2029,pred2028,pred2027,pred2026,pred2025,pred2024,pred2023,pred2022,pred2021,pred2020,pred2019,pred2018,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7600110000000002200116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4
7600110000000002200110,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3
7600110000000002200109,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2
7600110000000002190107,5,6,5,6,5,6,5,6,6,6,6,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8
7600110000000002130107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1
7600110000000002130109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7600110000000002170219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7600110000000002200105,2,2,2,2,2,2,3,3,2,3,2,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5
7600110000000002170111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1
7600110000000002180111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7600110000000002170115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
7600110000000002150106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
7600110000000002170107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7600110000000002220416,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1
7600110000000002220313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7600110000000002130114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
7600110000000002220308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2
7600110000000002220208,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0
7600110000000002220418,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2
7600110000000002220413,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1
7600110000000002130408,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7600110000000002140108,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3
7600110000000002110205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0
7600110000000002120114,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2
7600110000000002210116,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2
7600110000000002200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0
7600110000000002120201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
7600110000000002120508,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0
