"manzana","ed1","ed2","ed3","ed4","ed5","ed6","ed7","ed8","ed9","ed10","ed11","ed12","ed13","ed14","ed15"
"7600110000000002220414",0,0,0,0,1,1,0,0,0,2,1,1,0,2,0
"7600110000000002220412",0,0,0,0,0,1,0,0,2,2,1,0,2,2,0
"7600110000000002090414",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"7600110000000002170337",3,2,1,1,2,2,1,0,3,2,4,7,1,3,1
"7600110000000002080105",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7600110000000002200305",0,0,0,1,1,3,0,0,4,0,2,1,0,2,2
"7600110000000002040116",0,0,0,1,2,0,0,0,1,2,2,4,2,2,6
"7600110000000002210103",1,1,1,0,2,0,0,1,0,0,0,2,2,1,1
"7600110000000002130301",0,0,2,0,0,0,1,0,3,0,1,0,0,2,0
"7600110000000002120214",0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
"7600110000000002220302",2,0,0,1,3,0,0,0,2,3,0,1,0,0,1
"7600110000000002090216",0,1,1,0,0,1,0,1,0,1,0,1,1,0,1
"7600110000000002180110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002120511",1,2,1,0,2,0,1,1,0,1,0,0,1,2,1
"7600110000000002200311",1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"7600110000000002200306",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"7600110000000002090104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002120210",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"7600110000000002200104",4,2,0,5,4,2,2,7,3,6,4,9,2,8,3
"7600110000000002120118",2,2,1,0,4,1,2,2,0,1,0,0,0,1,0
"7600110000000002090310",0,0,0,0,0,0,0,2,0,1,0,1,0,0,1
"7600110000000002130119",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"7600110000000002060301",1,0,0,0,0,3,1,1,1,0,1,1,0,1,1
"7600110000000002120212",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7600110000000002200103",8,13,14,17,23,20,11,8,18,11,12,24,8,13,12
"7600110000000002030143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002170314",3,4,4,2,4,7,3,5,7,1,2,6,1,3,7
"7600110000000002220217",2,1,0,2,0,2,0,0,0,0,1,1,1,1,1
"7600110000000002050109",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"7600110000000002170217",0,1,0,0,0,2,2,0,0,0,2,0,0,0,0
"7600110000000002190109",3,4,1,5,4,3,2,3,7,7,3,7,4,5,1
"7600110000000002140109",0,0,0,1,1,2,0,1,1,4,1,0,2,2,1
"7600110000000002040126",0,0,0,0,1,0,2,0,3,0,4,1,0,0,0
"7600110000000002080101",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"7600110000000002070114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002100104",0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
"7600110000000002230205",5,8,2,6,6,8,5,5,2,3,2,5,2,3,5
"7600110000000002130304",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"7600110000000002230304",2,3,0,0,2,0,0,2,2,1,1,0,1,1,0
"7600110000000002080215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7600110000000002010217",5,3,3,0,2,0,3,0,6,2,2,1,1,1,3
"7600110000000002230316",0,0,0,1,1,4,1,3,1,5,0,2,2,2,1
"7600110000000002060116",0,0,0,0,0,1,0,1,0,1,1,3,0,1,0
"7600110000000002130202",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7600110000000002060105",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7600110000000002060102",1,1,1,0,1,0,1,0,0,0,3,0,1,0,1
"7600110000000002120519",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"7600110000000002220435",12,13,5,8,10,18,13,9,9,13,15,11,19,12,10
"7600110000000002190112",8,10,5,14,4,12,14,6,10,14,8,10,11,7,7
"7600110000000002230322",0,0,3,0,1,2,0,0,0,1,1,0,1,1,0
"7600110000000002050102",2,2,0,0,1,0,0,1,2,1,3,1,1,1,1
"7600110000000002060209",0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
"7600110000000002060205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002130214",0,0,0,0,1,0,2,0,1,1,2,1,0,1,0
"7600110000000002150111",1,2,0,2,0,0,2,2,1,0,5,0,2,1,2
"7600110000000002200220",3,1,7,3,2,1,3,2,3,1,1,4,5,3,2
"7600110000000002230218",2,2,4,0,3,5,1,0,1,1,1,1,6,0,0
"7600110000000002070119",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"7600110000000002130207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7600110000000002040111",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"7600110000000002220204",2,4,1,1,0,2,3,0,1,3,1,0,0,2,1
"7600110000000002230328",0,0,2,1,2,1,2,0,0,2,0,0,0,0,1
"7600110000000002120515",1,0,2,0,0,1,0,1,0,1,1,1,0,0,0
"7600110000000002210218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000003050102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002170216",0,1,0,0,0,0,0,0,0,1,0,0,1,3,0
"7600110000000002110412",0,0,0,1,0,0,1,1,0,0,0,2,0,1,1
"7600110000000002110411",0,2,0,2,0,1,1,2,0,0,1,0,0,0,0
